text1,text2,label
"A human being capable to talk things to the face of the main responsables of this , and not to look somewhere else to evil Porsches … the ambition of the world economies are so big that they do n’t care about the people ( Elysium ) … and then we are supposed to put on green glasses to pretend the solution is to be Vegan , do Yoga and look cool … there are no Gandhis any more that speak the truth for the good of all mankind not to look [cool] but to be true to your self !",cool: of or at a relatively low temperature,0
"The use of multimedia , including texts , blogposts , and emails was really [cool] and added understanding and depth , particularly as Claire tries to learn more about her family and how her mother viewed events that occurred in the past .",cool: of or at a relatively low temperature,0
It is important to ensure that the hat you are selecting has perfect ventilations to provide your head with [cool] air .,cool: of or at a relatively low temperature,1
"Find North face resolve jacket [black] black , Blue Men 's Outerwear in Shopzilla 's Clothing & Accessories category :","black: evil, bad, unsavory",0
"Here ’s a [cool] shorty from Mexico , focused on the boats that take fly fishers to the flats .",cool: of or at a relatively low temperature,0
There ’s even a really [cool] Superman costume hoodie that ’s super - stylish .,cool: of or at a relatively low temperature,0
Too many times in my OD we miss out on games that our users say are Epic or would just be [cool] to see .,cool: of or at a relatively low temperature,0
"A great start , but when another England chance to score went begging , still in the opening 10 minutes , in the face of [hard] New Zealand defence in the ' red zone ' , it set the alarm bells clanging ..","hard: Firm, solid, resistant to pressure, tangible",0
"Store it in a dry , [cool] space , preferably in a board bag like the Inflatable SUP Roller Backpack that comes with your SUP package .",cool: of or at a relatively low temperature,1
Prisoners shuck [black] pearls from cave - oysters and slowly forget how to walk upright .,"black: evil, bad, unsavory",0
Hatco heated [black] glass shelves are made of approved foodsafe materials allowing you to place food product directly on the glass surface .,"black: evil, bad, unsavory",0
"The Haiku Buckaroo ) will receive a Magnetic Poetry Haiku Kit , a Haiku Buckaroo Mug and a super - [cool] button for their blog ( in their choice of white or black ) .",cool: of or at a relatively low temperature,0
"If there is a light - weight , the blue wire should be connected towards the [black] wire of your swap likewise .","black: evil, bad, unsavory",0
The mold is typically [hard] to identify .,"hard: Firm, solid, resistant to pressure, tangible",0
"While a [cool] find , it 's missing the most key part to a Whizzer , the drive mechanism .",cool: of or at a relatively low temperature,0
It has [black] yarn and a fluffy white feather on top of the head .,"black: evil, bad, unsavory",0
Any business owner can tell you how [hard] it can be to think about marketing when you are inundated with company growth and the challenges that come along with that growth .,"hard: Firm, solid, resistant to pressure, tangible",0
"I come from at least four generations of brick masons dating back to 19th century Italy , and I learned the value of [hard] work and perseverance from working on construction sites with my father every summer from high school through medical school .","hard: Firm, solid, resistant to pressure, tangible",0
"Even as a diehard lover of the fantasy sci - fi schtick that Warhammer 40 K is peddling , I found the ‘ magical item is prophesised to destroy the world so we have to all kill each over it ’ storyline a little [hard] to look at uncritically .","hard: Firm, solid, resistant to pressure, tangible",0
"Hoy – True , I was a bit apprehensive about doing the first trip just because I did n’t know what to expect , but once I did it , I was so stoked not only with the waves and the resort , but with all the [cool] people I met and the good times we had .",cool: of or at a relatively low temperature,0
"In fact , we have one of the largest mobile [hard] drive shredding operations in the nation .","hard: Firm, solid, resistant to pressure, tangible",1
it is also [hard] when we all have a little bit of competitiveness in us ( sometimes we can be competitive ) and we want to be up the front winning not the last one to finish - this may cause i to rush and not do things properly .,"hard: Firm, solid, resistant to pressure, tangible",0
Tostada Salad - comes with choice of refried or [black] beans .,"black: evil, bad, unsavory",0
"They have a very [hard] time figuring out that technology can sometimes have unexpected bad consequences , not to mention fully intended bad consequences like putting people out of work .","hard: Firm, solid, resistant to pressure, tangible",0
"To wire the enthusiast , it is really merely a matter of connecting the [black] wire from the ceiling fan into the black wire with the swap .","black: evil, bad, unsavory",0
Beautiful white [black] glass wood modern design elegant .,"black: evil, bad, unsavory",0
"Jason Van Dyke , the former Chicago cop whose fatal 2014 shooting of [black] teenager Laquan McDonald reignited the fervent nationwide conversation about police shootings , was sentenced Friday to six years and nine months in prison .","black: evil, bad, unsavory",0
I find that it 's very [hard] to explain without pics .,"hard: Firm, solid, resistant to pressure, tangible",0
"And when that happens I try to get creative with neutrals like [black] , white and grey .","black: evil, bad, unsavory",0
It ’s [hard] to bring home the bacon on tests these days .,"hard: Firm, solid, resistant to pressure, tangible",0
Next you add items that are related to the incident such as the [hard] disk or floppies .,"hard: Firm, solid, resistant to pressure, tangible",1
"I ’ll give you the recipes I improvise from , but seriously pancakes are [hard] to mess up .","hard: Firm, solid, resistant to pressure, tangible",0
It has thumbholes and is perfect for a [cool] day !,cool: of or at a relatively low temperature,1
I almost always skipped this step because I always thought using a cleanser gave my skin a really [hard] time .,"hard: Firm, solid, resistant to pressure, tangible",0
I particularly like the [cool] 812.5 years ROI on double glazing .,cool: of or at a relatively low temperature,0
The [hard] places discipline us under His careful watch and lead us to say yes to His yes instead of shaking our heads in defiance .,"hard: Firm, solid, resistant to pressure, tangible",0
"The most popular color of the Bengal is the brown / black tabby , a lackluster description for coats that can be anywhere from a [cool] grey to vibrant shades of golden , bronze , copper or mahogany with spots or marbling ranging from rich browns to intense black .",cool: of or at a relatively low temperature,1
Tiny Gold Concentration Machine for [hard] rock gold mine mining .,"hard: Firm, solid, resistant to pressure, tangible",1
"It is [hard] for us as Americans to feel as much pain on Sept. 11 when remembering the attacks that happened 15 years ago , because similarly awful terrorist attacks are occurring in the present .","hard: Firm, solid, resistant to pressure, tangible",0
It is really modern and just a [cool] atmosphere - just what I like .,cool: of or at a relatively low temperature,0
"This film is very much geared towards the U.S. falling on [hard] times , but I think the real question for us is what happens when China falls on hard times , and I think that 's likely to happen fairly soon .","hard: Firm, solid, resistant to pressure, tangible",0
"Notes of blueberry , blackberry , smoked meat , and vanilla are found on the nose along with flavors of [black] cherry , blackberry compote , cinnamon , black pepper and vanilla on the palate .","black: evil, bad, unsavory",0
"Phenotypically , the Parkote buffalo are dark in coat color and medium built body size , with sword - shaped horns directed laterally or towards the back of the body ( Rasali , 1998 ; Pradhan et al . , 1996).They have black coat color ; [black] skin color ; black muzzle ; black eye brow ; usually no leg markings ; and chevron marks absent ( Rasali et al . , 1998 ) .","black: evil, bad, unsavory",0
"Sure , you can score a few kills for yourself by going it alone , but all you Rambo types are going to have a [hard] time being an effective part of the larger offensive unless you learn to coordinate with your squadmates .","hard: Firm, solid, resistant to pressure, tangible",0
A [cool] city and a great store .,cool: of or at a relatively low temperature,0
"That was just the cool part , the really [cool] part ?",cool: of or at a relatively low temperature,0
"The dual - processor system is an awesome machine , especially when you consider that its predecessor , which sported two 800MHz processors , cost $ 500 more , with half the RAM , a smaller - capacity [hard] disk , and a lesser video card .","hard: Firm, solid, resistant to pressure, tangible",1
"If the lice are allowed to continue breeding , the outbreak of lice will become [hard] to stop .","hard: Firm, solid, resistant to pressure, tangible",0
"It is part of the Plympton Community Magazine guarantee that all materials are pushed completely through each and every letterbox , both for security purposes and to help keep [cool] homes cool , and warm homes warm .",cool: of or at a relatively low temperature,1
The booklet comes in plain [black] and white while the pictures themselves play with close ups and the typical Haw - lin smiley in the distance .,"black: evil, bad, unsavory",0
"Their communication primarily comes from body language : they 'll turn their head or body away to indicate they 're not so [cool] with this invasion , or they may even try to move away .",cool: of or at a relatively low temperature,0
"Once you ’ve stopped the bleeding , rinse the cut under [cool] running water or use a saline wound wash .",cool: of or at a relatively low temperature,1
"Also , the men seemed to be very partial to [black] tee shirts .","black: evil, bad, unsavory",0
It was very [hard] as I yelled to him to stay put until I got over to him .,"hard: Firm, solid, resistant to pressure, tangible",0
He is meant to have helped Jimmy 's family long ago but it 's still [hard] to sympathise with him and the film is less involving because of that .,"hard: Firm, solid, resistant to pressure, tangible",0
The 13 - member Boston City Council in January will have four black councilors and Andrea Campbell is poised to take the gavel as the first [black] City Council president since 2001 .,"black: evil, bad, unsavory",0
"When you sign up we will ask if you have the following : black pants , [black] t - shirt , dark suit jacket or blazer , good dark colored walking shoes .","black: evil, bad, unsavory",0
"Before buying a hard drive , you need to be sure of the type of [hard] drive that you want to purchase .","hard: Firm, solid, resistant to pressure, tangible",1
The really neat thing about the truss system is the [cool] special truss hanger that is used to nail all eight trusses together .,cool: of or at a relatively low temperature,0
Recording is hard work in any era but it was especially [hard] in this era .,"hard: Firm, solid, resistant to pressure, tangible",0
"In 1999 , the working group "" Hard metals "" of the German industrial union for powder metallurgy suggested a classification of WC - Co [hard] metals according to grain size , which is today accepted worldwide .","hard: Firm, solid, resistant to pressure, tangible",1
"I checked the 3way switch on the other side of the room , and it has a [black] going to the common terminal , a white to one of the travelers , and a red to the other traveler .","black: evil, bad, unsavory",0
"This new trick is so very [cool] that when he 's not doing it in his crib , he will run around the house and hide from me as he snorts .",cool: of or at a relatively low temperature,0
"Mad Men is always aware of its own bigness ; it 's deep , but it 's also [cool] and crowd - pleasing .",cool: of or at a relatively low temperature,0
I looked them over and it seems I got a couple of [cool] ones .,cool: of or at a relatively low temperature,0
It is [hard] enough to struggle to become the sorts of person we would hope to be .,"hard: Firm, solid, resistant to pressure, tangible",0
Different types of pen drives and [hard] drives at discounted rates .,"hard: Firm, solid, resistant to pressure, tangible",1
I tried starting the computer in low- res mode but the same thing happened : the Windows logo comes up then the [black] screen with a centered mouse cursor .,"black: evil, bad, unsavory",0
It 's very [hard] to contact Wood - mode / Brookhaven because I ca n't find a phone number and the only way to contact them is by filling out a form online and hoping they call me .,"hard: Firm, solid, resistant to pressure, tangible",0
"- stop dancing for the hour - long class , your [cool] kids will learn a little about the history of the five main street dance styles .",cool: of or at a relatively low temperature,0
"In a comparison of whites and African Americans , 55 percent of the white parents and 70 percent of the [black] parents said they coslept with their babies .","black: evil, bad, unsavory",0
The borough said the building ’s estimated market value of € 5.2 million ( $ 6.12 million ) would make it [hard] to earn enough money to justify the outlay without raising the rent by instigating a luxury conversion .,"hard: Firm, solid, resistant to pressure, tangible",0
"While 75 % of our guests are completely happy to enjoy an unstructured windjammer vacation , we do offer some pretty [cool] specialty cruises .",cool: of or at a relatively low temperature,0
"When it comes to shoes , this getup is complemented perfectly with [black] espadrilles .","black: evil, bad, unsavory",0
Very [cool] giveaway .,cool: of or at a relatively low temperature,0
A fuzzy [black] squirrel is sitting here scavenging for some food .,"black: evil, bad, unsavory",0
The [cool] down end part of a class will recondition and pacify the nervous and cardiovascular systems .,cool: of or at a relatively low temperature,1
""" What word? .. I need a [cool] word to stamp ! ! !",cool: of or at a relatively low temperature,0
The Funny Dictionary : An A - Z of Kids ’ Funny Definitions includes around 40 [black] and white photographs from the National Library ’s pictorial collections .,"black: evil, bad, unsavory",0
Keep in a [cool] dry place .,cool: of or at a relatively low temperature,1
This is a spot for the [cool] crowd who likes the idea of BBQ but if you are a fan of Henry ’s or Bucky ’s you might feel cheated by the portion sizes here .,cool: of or at a relatively low temperature,0
The bezel rim is [black] nickel as it says in description .,"black: evil, bad, unsavory",0
"In my case , I have an excellent large gentle source , however I am photographing a black suede pump and generally [black] products want an additional fill to see texture and element ( because it ’s darker ) .","black: evil, bad, unsavory",0
"Today 's recipe is a refreshingly [cool] drink to beat the heat , Watermleon Lemonade .",cool: of or at a relatively low temperature,1
"Results 122 of 22 ... 15 litre container28 results from brands simplehuman , honey - can - do , milton , .... water [cool] for many hours made of food grade material racer insulated water coolers .... need price including air shipment to canada .",cool: of or at a relatively low temperature,1
Our demineralization cartridges help to reduce buildup in your humidifier tank caused by [hard] water .,"hard: Firm, solid, resistant to pressure, tangible",1
"Moreover , if you are not satisfied with all the [hard] work you have put in , you can easily detach the chair from the boat by unscrewing the pedestal .","hard: Firm, solid, resistant to pressure, tangible",0
"Stay [cool] , comfortable and completely shielded from the sun all summer long in men ’s straw Panama hats from Hats in the Belfry .",cool: of or at a relatively low temperature,1
"This is because you would not like to have any [hard] feelings , as it may affect your future job .","hard: Firm, solid, resistant to pressure, tangible",0
"Secluded , but easy access , romantic po , er and clean and elgends family vacation lake and mountain view log cabin for rent on [cool] high elevation Lake Legends casino poker .",cool: of or at a relatively low temperature,1
The screen turns [black] on random occasions where sometimes nothings is visible and sometimes you might be able to see the cursor but the background wallpaper is completely black .,"black: evil, bad, unsavory",0
Does the external [hard] drive have the same option to retrieve deleted files as a regular computer hard drive ?,"hard: Firm, solid, resistant to pressure, tangible",1
Its silky rayon material delivers a silky luxurious fit and icy [cool] feel even on those hot summer days .,cool: of or at a relatively low temperature,1
Choosing whether the winning number is going to be red or [black] is the perfect example of an even bet .,"black: evil, bad, unsavory",0
"When he came to the battle , the Pawnees were having a [hard] time , because the enemy were so many .","hard: Firm, solid, resistant to pressure, tangible",0
This was a special order of [black] discs .,"black: evil, bad, unsavory",0
"Retro is back in style , flaunt the same as you adorn this T - shirt in [black] coloured from the house of American Crew .","black: evil, bad, unsavory",0
"The steepest parts of the climb were in a [cool] damp fog that lifted , or rather , that I rose above just before the Montebello parking lot .",cool: of or at a relatively low temperature,1
It was an honor to wear the [black] and gold and be apart of the rich tradition of the Pirates Organization .,"black: evil, bad, unsavory",0
"Two of my favorite rooms in the home are also down here , including the media room ( with a [cool] framed flat - screen television ) and an exercise room , which I 'd love to have in my own home .",cool: of or at a relatively low temperature,0
There is a definite electronica texture and this is quite a [cool] piece of music – and one that stands out nicely from the rest .,cool: of or at a relatively low temperature,0
One other great thing is that this game is actually challenging unlike most RPG 's out there today ... it 's not so [hard] that you 'll want to quit but its not too easy either .,"hard: Firm, solid, resistant to pressure, tangible",0
"65 Double Upper High Top Chucks Outside view of a left [black] , red , and white double upper high top , with the outer upper rolled down .","black: evil, bad, unsavory",0
"But from the air the nearly 2 million - acre preserve appears like a mosaic of wet meadows , oxbow lakes and [black] spruce muskegs broken up by dense stands of white spruce as well as paper birch , balsam poplar , alders and willows .","black: evil, bad, unsavory",0
"Designed in collaboration with Whipsaw , Cinema One deliberately rejects the austere [black] box aesthetic .","black: evil, bad, unsavory",0
"The strollers have an aluminum alloy grey or black frame with a black fabric toddler seat , a colored fabric sunshade canopy , and a [black] basket under the seat .","black: evil, bad, unsavory",0
"As Lee writes , having students do reports on [black] scientists can also be a way to help them learn about contemporary scientists who , despite not achieving widespread fame , have made significant contributions .","black: evil, bad, unsavory",0
He was trying too [hard] to make me believe what he was saying .,"hard: Firm, solid, resistant to pressure, tangible",0
I think it 's [cool] .,cool: of or at a relatively low temperature,0
It 's [hard] to provide a good review and notice something is missed on an engineering report if you have no background in engineering .,"hard: Firm, solid, resistant to pressure, tangible",0
"Now that the elation over electing a [black] man president seems to be subsiding , I hope people can look at this thing realistically .","black: evil, bad, unsavory",0
"I have mentioned my [black] eyebrows , and I got Bow Brow in black .","black: evil, bad, unsavory",0
"Do not make any payment using Western Union or Moneygram – they are extremely [hard] to trace , so scammers love it .","hard: Firm, solid, resistant to pressure, tangible",0
We sat on a bluff looking out to the ocean and in the distance we could see little [black] dots that were seals in the water .,"black: evil, bad, unsavory",0
"It smelled [cool] and earthy , like fresh mushrooms .",cool: of or at a relatively low temperature,1
"Some coral debris , molluscs , and foraminiferal sand are stained [black] , because of precipitation of free pyrite in a reducing environment caused by weak currents and quiescent conditions , in the presence of plant and organic debris , mainly algae and sea - grass .","black: evil, bad, unsavory",0
"So before the [cool] weather arrives , make a batch of these Lemon Raspberry Buttermilk Popsicles and celebrate the remaining days of summer in style !",cool: of or at a relatively low temperature,1
"Everyone this morning pushed it [hard] to give the mission their best shot , even though they had to report the dead animals over the radio .","hard: Firm, solid, resistant to pressure, tangible",0
Unfortunately also the franchise industry is not immune to [black] sheep ” .,"black: evil, bad, unsavory",0
And especially in those hot temperature days you will be wanting something [cool] and refreshing to drink .,cool: of or at a relatively low temperature,1
"Researchers captured the extreme frame dragging by analyzing X - rays emanating from a disk of star debris swirling around a [black] hole about 28,000 light - years away in the Milky Way .","black: evil, bad, unsavory",0
"Rose , Troy ’s wife , illustrates [black] optimism or disillusionment .","black: evil, bad, unsavory",1
"Especially when you ’re dealing with many students , it ’s [hard] for the teacher .","hard: Firm, solid, resistant to pressure, tangible",0
"This 2011 Aston Martin DBS Carbon Black Edition presented in Carbon Black with [black] leather interior and black piano wood has a large specification including sat nav , 2 + 2 seats , custom tread plates , unique sill plaques and auto dimming rear view mirror .","black: evil, bad, unsavory",0
"The collarless design keeps you [cool] and comfortable during the warm season , whilst the minimalist single - button fastening and dual rear vents retain a key silhouette for a smart yet comfortable fit .",cool: of or at a relatively low temperature,1
"The EDX spectrum of the black color layer only shows the emission peak related to the Carbon , which seems to indicate the presence of a carbon [black] pigment used for the decoration .","black: evil, bad, unsavory",0
I feel like the pregnancy became my identity and I ’m having a [hard] time letting that go .,"hard: Firm, solid, resistant to pressure, tangible",0
"The updated kitchen feels fresh with white cabinets and walls , [cool] gray granite counters , stainless steel appliances , statement light fixtures and an eat - at island .",cool: of or at a relatively low temperature,1
They think it ’s really [cool] to have an American on the team .,cool: of or at a relatively low temperature,0
"Bruce Lee once said that I pray not for an easy life , but the ability to endure a [hard] one !","hard: Firm, solid, resistant to pressure, tangible",0
"We do n’t blame you , it ’s a pretty [cool] name .",cool: of or at a relatively low temperature,0
I have just been through this as the Field Marshall bought an old [black] bakerlight phone for the front room and I had to get it to match our wiring .,"black: evil, bad, unsavory",0
"Blueish black you find for instance at certain types of corn , some potatoes are purplish [black] and a lot of mushrooms are brownish black .","black: evil, bad, unsavory",0
"A proud man who feels trapped in his [black] skin , Jack wants a family but can not help always looking for "" the good life "" for himself .","black: evil, bad, unsavory",0
"Yes , this Seagate ST3160813AS [hard] drive can qualify for the $ 60 hard drive Repair Service .","hard: Firm, solid, resistant to pressure, tangible",1
These same public relations firms often discourage their [black] clients from working with black - owned media companies and advertising with the Black Press .,"black: evil, bad, unsavory",0
It ’s [hard] to have that discussion without sounding like a science degree snob though .,"hard: Firm, solid, resistant to pressure, tangible",0
"If your [hard] drive is making abnormal clicking noises but still works , back up your data immediately and replace the hard drive .","hard: Firm, solid, resistant to pressure, tangible",1
It is designed gracefully to give you a [cool] chic look that you can carry comfortably .,cool: of or at a relatively low temperature,0
"The entire challenge will be shot : A ) with a single camera ; B ) with the lenses I currently own ( 28/1.9 , 40/1.4 , 50/1.5 ) ; C ) on [black] and white film ( Kodak 400TX / Arista Premium 400 , Fuji Acros 100 and Neopan 400 , and other films ; I want to experiment with some different emulsions that I have not had the chance to try yet ) ; and D ) will last one calendar year ( 2014 ) .","black: evil, bad, unsavory",0
