text1,text2,label
Winter ’s cold temperatures and icy conditions can be [hard] on your vehicle .,"hard: Firm, solid, resistant to pressure, tangible",0
"Kirin Ichiban ’s machine turns beer into a slushie that you can then use to top off a glass of beer , helping it stay [cool] for up to 30 minutes longer .",cool: of or at a relatively low temperature,1
Lorn are an Italian [black] metal band and this is their latest EP .,"black: evil, bad, unsavory",1
"It smelled [cool] and earthy , like fresh mushrooms .",cool: of or at a relatively low temperature,1
The charm is sterling silver with [black] painted enamel .,"black: evil, bad, unsavory",0
I decorate my hallway like I would my living room – with stuff in it so it feels pretty [cool] ,cool: of or at a relatively low temperature,0
"But as you get lost in your computer screen , the soda can is way past the [cool] temperature you want it to be at .",cool: of or at a relatively low temperature,1
""" It 's [hard] to calculate , it 's harder to implement in the experiment . ""","hard: Firm, solid, resistant to pressure, tangible",0
"The [cool] part about events is that as multiple people take pictures , and as long as they ’re members of the event , every photo they take will be shared to the Event stream .",cool: of or at a relatively low temperature,0
But please remember this is Scotland so bring your wooly jumpers for that un - seasonal [cool] spell !,cool: of or at a relatively low temperature,1
After all our [hard] work ... it is done .,"hard: Firm, solid, resistant to pressure, tangible",0
"The black knight on e6 is pinned to its king by the white bishop , and the white knight is pinned to the queen on b1 by the [black] rook .","black: evil, bad, unsavory",0
"International Women of Power Luncheon , in Marina Del Ray where they celebrated the extraordinary accomplishments of global women who are trailblazers and trendsetters inspiring [black] girls and women .","black: evil, bad, unsavory",0
"“ Care Kits ” containing [hard] candy , a coupon for free coffee at the Refuge Grill and information about the Wyoming Quit Tobacco Program will be available at the Community health Information ( CHI ) Center , Emergency Room Admitting and at the Patient Access Desk for those having a hard time not using tobacco products while on the campus .","hard: Firm, solid, resistant to pressure, tangible",1
One [cool] thing we learned while talking to our waitress is that the owners of the restaurant grow a lot of their own vegetables on their own property .,cool: of or at a relatively low temperature,0
"39 - year - old TV presenter went out in a stunning [black] ensemble of a long jacket coat and black dress , it was literally sprinkled with precious stones .","black: evil, bad, unsavory",0
"We have them available in [black] wood , red pakka wood , or white pearlex scales .","black: evil, bad, unsavory",0
"As the [cool] and sometimes wet winter weather rolled in , many riders chose to stay home , but by spring 2001 , as many as 80 bikes came out each Wednesday and the gathering was officially named the San Fernando Valley Bike Night , or SFV Bikenight for short .",cool: of or at a relatively low temperature,1
"We have renovated most of them to top standard , and best of all ; they are full of [cool] people , just like yourself !",cool: of or at a relatively low temperature,0
"Once you ’ve stopped the bleeding , rinse the cut under [cool] running water or use a saline wound wash .",cool: of or at a relatively low temperature,1
"The only downside is , it is [hard] to learn everything .","hard: Firm, solid, resistant to pressure, tangible",0
"If there is a light - weight , the blue wire should be connected towards the [black] wire of your swap likewise .","black: evil, bad, unsavory",0
"While that ’s a [cool] little nugget of information , it ’s also incredibly actionable .",cool: of or at a relatively low temperature,0
"Trust me , this tastes exactly how it looks , [cool] and refreshing , a great salad to serve this summer !",cool: of or at a relatively low temperature,1
"This jet phenomenon manifests itself on the scale of supermassive [black] holes as Active Galactic Nuclei and on the stellar black hole scale as "" microquasars "" .","black: evil, bad, unsavory",0
"After the fabric paint dries , you may use a black fabric paint to write [cool] things on the shirt such as ‘ ’ my kids walk all over me ’’ .",cool: of or at a relatively low temperature,0
"It is [hard] for us as Americans to feel as much pain on Sept. 11 when remembering the attacks that happened 15 years ago , because similarly awful terrorist attacks are occurring in the present .","hard: Firm, solid, resistant to pressure, tangible",0
There is a popular myth that Linux is complicated and [hard] to use by a non - techie .,"hard: Firm, solid, resistant to pressure, tangible",0
"In this way , in the event that you have to duplicate documents bigger than 4 GB , you have to verify that the record framework on the [hard] plate you are replicating to is NTFS and not FAT32 .","hard: Firm, solid, resistant to pressure, tangible",1
It&apos;s nice and [cool] now but promises to be a stinker later on .,cool: of or at a relatively low temperature,0
"In typical Cain [hard] luck , he went 2 - 3 .","hard: Firm, solid, resistant to pressure, tangible",0
"If you prefer [hard] media , the same sliding scale applies to CDs costing between $ 11 and $ 24 .","hard: Firm, solid, resistant to pressure, tangible",1
"You also get 8 GB of RAM and a 1 TB [hard] drive in the same case as the Mini - I. Finally , the LAN III Commander edition bumps the processor up to a Core i7 - 3820 and the graphics card to a GeForce GTX 670 and replaces the hard drive with a 128 GB solid state drive .","hard: Firm, solid, resistant to pressure, tangible",1
He was just kinda a [cool] kid I ’d seen around the metal shows .,cool: of or at a relatively low temperature,0
I try really [hard] to do that myself .,"hard: Firm, solid, resistant to pressure, tangible",0
"Be that modern , power , thrash and progressive metal - but also [hard] rock fans .","hard: Firm, solid, resistant to pressure, tangible",0
How [cool] would that be ? !,cool: of or at a relatively low temperature,0
"Black cherry and wild [black] raspberry dominate the nose with baking spices , vanilla and an underlying note of scorched earth .","black: evil, bad, unsavory",0
It 's very [cool] because you do n't need to spend money to get a different things in the game .,cool: of or at a relatively low temperature,0
"Jason Van Dyke , the former Chicago cop whose fatal 2014 shooting of [black] teenager Laquan McDonald reignited the fervent nationwide conversation about police shootings , was sentenced Friday to six years and nine months in prison .","black: evil, bad, unsavory",0
This result reinforces the physical interpretation of Wald entropy for Lanczos - Lovelock models and takes a step towards proving the analogue of the [black] hole area increase - theorem in a wider class of gravitational theories .,"black: evil, bad, unsavory",0
The same anthocyanins that give black rice its [black] and purple colouring can be found in blackberries and blueberries .,"black: evil, bad, unsavory",0
Interior designer Rachel Goetz found this [cool] watercolor - like design from Anthropologie .,cool: of or at a relatively low temperature,0
"When [cool] , tough Chris Rush drifts into the gang , Mog finds a hero and a best friend .",cool: of or at a relatively low temperature,0
"Once the summer happens , it almost becomes [hard] for each of us to bear the heat of the season .","hard: Firm, solid, resistant to pressure, tangible",0
"The belt comes in both [black] and white and is made of lightweight nylon with a breathable , moisture - wicking mesh back panel .","black: evil, bad, unsavory",0
"A human being capable to talk things to the face of the main responsables of this , and not to look somewhere else to evil Porsches … the ambition of the world economies are so big that they do n’t care about the people ( Elysium ) … and then we are supposed to put on green glasses to pretend the solution is to be Vegan , do Yoga and look cool … there are no Gandhis any more that speak the truth for the good of all mankind not to look [cool] but to be true to your self !",cool: of or at a relatively low temperature,0
"Why the technology will be around for another 20 years : Though you may not think it , optical media is still one of the most predominant of all storage mediums , besides the [hard] drive .","hard: Firm, solid, resistant to pressure, tangible",1
"The hard Brexiteers , for all their media ubiquity , just do n’t have the numbers in parliament for a [hard] Brexit .","hard: Firm, solid, resistant to pressure, tangible",0
"It ’s [hard] to break into any industry , especially one as competitive as tech , or coding .","hard: Firm, solid, resistant to pressure, tangible",0
How [cool] are these Mambi chipboard stickers - my new favs !,cool: of or at a relatively low temperature,0
"They are great on onionskin paper as well , but the tip is very large and round so it ’s [hard] to use on tiny print .","hard: Firm, solid, resistant to pressure, tangible",0
"This [black] leather sneaker has a flat sole rather than a high wedge heel , but it does add a stud - encrusted high top with an additional high - top sleeve you can put on folded down for a 1980s vibe .","black: evil, bad, unsavory",0
Decorated in [cool] grey tones means any furniture colour pallet will fit without clashing !,cool: of or at a relatively low temperature,1
"It is a relatively [cool] and faint star , approximately one tenth the mass and diameter of SoVran or approximately 30 % larger than the planet Jupiter .",cool: of or at a relatively low temperature,1
"Because of the highly curated atmosphere and pristine vineyard , it may be [hard] for guests to imagine the difficulties and risks associated with grape production in Connecticut .","hard: Firm, solid, resistant to pressure, tangible",0
"It would not be [hard] to find thousands of examples in the books of the Prophets in which lead , earth , gold , and salt speak of human virtues and vices .","hard: Firm, solid, resistant to pressure, tangible",0
Let [cool] on a wire rack and enjoy !,cool: of or at a relatively low temperature,1
"I 'm going to try to prioritize it soon , but I have such a [hard] time sitting down and playing a game when there are ARCs to be read .","hard: Firm, solid, resistant to pressure, tangible",0
Check out our video on identifying common [hard] drive failures .,"hard: Firm, solid, resistant to pressure, tangible",1
You need to be reminded that there are [hard] disk drives as well as the solid - state drives .,"hard: Firm, solid, resistant to pressure, tangible",1
"As wonderfully atmospheric as the record tends to be , it is abysmal on all other fronts – not even considering the blatant thievery by its creators , or the complete phoniness of its try - hard [black] metal imagery .","black: evil, bad, unsavory",1
"The [black] b pawn and the white c pawn were eliminated with a bishop exchange as well , and Stockfish ( and its fans ) started to feel the pressure .","black: evil, bad, unsavory",0
"moises quispé has heard the whispered rumours about the [black] butterfly – its hypnotic , velvet wings , two feet across and as dark and mystical as the peruvian jungle night ; a jungle receding to a soundtrack of chainsaws and hate ; a jungle that gave him life and embraces the spirit of his murdered family .","black: evil, bad, unsavory",0
Kids bedroom designs teenage furniture for small rooms ideas ikea childrens fabulous wallpaper adds color and pattern to the [cool] toddler set view in gallery design shawback twin sets .,cool: of or at a relatively low temperature,0
Every white person thought black people were going to rob them and shoot them despite the fact [black] men like myself were fighting on their behalf to help stop WWIII from occurring . ”,"black: evil, bad, unsavory",0
Remember that your ankle boots do n’t have to be [black] or brown .,"black: evil, bad, unsavory",0
"Chilembwe preached an orthodox Baptist faith along with a morality that opposed alcohol and emphasized the values of [hard] work , personal hygiene , and self - help .","hard: Firm, solid, resistant to pressure, tangible",0
"A sophisticate minded trendy bar , Marcus ' Martini Heaven in Seattle pours every drink into a sometimes [hard] to imbibe from martini glass and their extensive list runs the gamut of every conceivable liquor with Marcus ' extremely busy bartenders being well versed in every concoction .","hard: Firm, solid, resistant to pressure, tangible",0
"The climate is [cool] and dry and steep , scenic mountain slopes surround the lake .",cool: of or at a relatively low temperature,1
The two halves should be able to stand upright because of the box of [hard] rubber surrounding them .,"hard: Firm, solid, resistant to pressure, tangible",1
"Mad Men is always aware of its own bigness ; it 's deep , but it 's also [cool] and crowd - pleasing .",cool: of or at a relatively low temperature,0
Remove and when slightly [cool] place in a grinder or blender .,cool: of or at a relatively low temperature,1
"When you do n't feel lovable or capable , it 's [hard] to feel good about yourself and it 's hard to have strong self - esteem .","hard: Firm, solid, resistant to pressure, tangible",0
"the Iron Gate slowly opened and I heard what sounded like someone walking through a puddle and when I turned around I could make out what looked to be a man in a white shirt and black pants wearing a straw hat ( which was oddly colored for a straw hat , [black] ) and by this time I was in a full on sprint down the road and when I turned back it was gone and the gate had been closed .","black: evil, bad, unsavory",0
""" It 's [hard] for anybody to match up with him , his overall skill set , his baserunning , arm strength , ability to throw off balance -- you just keep going down the list of things he can do that on other teams , maybe one guy can do one or two of these things but not anybody can do all of the things he can do , "" Maddon said .","hard: Firm, solid, resistant to pressure, tangible",0
"Lord Stranleigh met them within the hall apparently [cool] and unexcited , there ’s nothing to do .",cool: of or at a relatively low temperature,0
A [black] woman ?,"black: evil, bad, unsavory",0
The drop - down box lists all the unassigned [hard] drives .,"hard: Firm, solid, resistant to pressure, tangible",1
"IRA has an extensive background in business development , business and marketing plans , business consultation , debt and equity private venture transactions along with traditional and [hard] money and venture capital raise ups .","hard: Firm, solid, resistant to pressure, tangible",1
but I think it 'd be [cool] if you actually rounded the edges .,cool: of or at a relatively low temperature,0
"The dense buds are not too [hard] , under lights they mature in 62 - 68 days and at an early stage give off that special flavour .","hard: Firm, solid, resistant to pressure, tangible",1
But this will be a great starting point especially if you have a [hard] time writing .,"hard: Firm, solid, resistant to pressure, tangible",0
"As Lee writes , having students do reports on [black] scientists can also be a way to help them learn about contemporary scientists who , despite not achieving widespread fame , have made significant contributions .","black: evil, bad, unsavory",0
"The Native Trust and Land Act of 1936 extended the reserves to about 13 % of South African land , but also tightened the control of government of all [black] economic pursuits , including agricultural activities ( Van der Elst 2017:959 ) .","black: evil, bad, unsavory",0
Very [cool] giveaway .,cool: of or at a relatively low temperature,0
"Bassist Jack Gordon and drummer Gus Alvarado , veterans of a handful of Houston [hard] rock bands , bring a focused intensity that provides a strong backbone for the songs .","hard: Firm, solid, resistant to pressure, tangible",0
"They also are very tight in there , balled up in the fetal position , making it [hard] to see them .","hard: Firm, solid, resistant to pressure, tangible",0
"Although the actual recipe is a bit [hard] to pull out from the post , the results are always worth it .","hard: Firm, solid, resistant to pressure, tangible",0
I almost never wear [black] .,"black: evil, bad, unsavory",0
"In the video , directed by David Camerena , the HBK rapper rides around in a glossy [black] Ferrari while a wandering bride runs the streets searching for him .","black: evil, bad, unsavory",0
"One - third of the 165 species of wetlands breeding birds show medium or high vulnerability to climate change , and [black] ducks have been identified as particularly susceptible to sea - level rise associated with a warming climate .","black: evil, bad, unsavory",0
"Her perspective also omits the clear fact that black pl ayers often make less , experience less playing time and perhaps most importantly , do not accurately reflect the height of [black] ability .","black: evil, bad, unsavory",0
"These hard inquiries will stay on your credit report for two years , and if you have several [hard] inquiries on your report , it can dramatically impact your score .","hard: Firm, solid, resistant to pressure, tangible",0
"While [black] girls represent 20 percent of preschool enrollment , 54 percent of preschool girls suspended once or more were black .","black: evil, bad, unsavory",0
James Brown is an early example of a Liverpool [black] man ’s life being archived .,"black: evil, bad, unsavory",0
In predominantly [black] schools ‚ teachers actually taught an average of 3.5 hours a day compared with the average of about 6.5 hours a day in former white schools .,"black: evil, bad, unsavory",0
"The groom has a black bow tie and all the groomsmen have [black] ties , and they all wear black suits and shoes .","black: evil, bad, unsavory",0
But if you ’re dealing with a lot of media ( especially videos ) then an external [hard] drive is the way to go !,"hard: Firm, solid, resistant to pressure, tangible",1
"With winter fast approaching , many anglers will be hanging their rods up when the first [hard] frost arrives , but what they do n’t realise is , there are many rewards up for grabs for braving the cold .","hard: Firm, solid, resistant to pressure, tangible",0
Comprises 6 folding [black] textile and silver grey powder coated steel chairs 120cmx70 cm rectangular table with toughened glass top and 180 cm diameter black parasol .,"black: evil, bad, unsavory",0
I always want to but it 's [hard] to get the motivation .,"hard: Firm, solid, resistant to pressure, tangible",0
"In fact , we have one of the largest mobile [hard] drive shredding operations in the nation .","hard: Firm, solid, resistant to pressure, tangible",1
It was an honor to wear the [black] and gold and be apart of the rich tradition of the Pirates Organization .,"black: evil, bad, unsavory",0
so there was flappy bird game and started to play it and it was a very [cool] and after the game I got a certificate .,cool: of or at a relatively low temperature,0
Choosing a color belt can be absolutely diverse - from delicate peach or lavender to unexpected [black] or brown .,"black: evil, bad, unsavory",0
"Published with a glossy [hard] cover in a convenient size for reference it has detailed information on the 2012 Formula One World Championship : teams , drivers , cars , engines , team principals , mechanics , engineers , key people , sponsors , suppliers , marketing , PR and press officers , photographers , journalists , tracks , F1 officials and much more hard to find information .","hard: Firm, solid, resistant to pressure, tangible",1
That 's so [cool] that SteemFest used the big banquet hall !,cool: of or at a relatively low temperature,0
the reason i said it makes me sad is because i ca nt talk with my mouth and that is so [hard] to not have the ability to just speak whenever .,"hard: Firm, solid, resistant to pressure, tangible",0
One other great thing is that this game is actually challenging unlike most RPG 's out there today ... it 's not so [hard] that you 'll want to quit but its not too easy either .,"hard: Firm, solid, resistant to pressure, tangible",0
Have something [cool] to demo ?,cool: of or at a relatively low temperature,0
She breathed in the [cool] lake water .,cool: of or at a relatively low temperature,1
"The phone is perfectly designed to help those with hard of hearding disabilites , those with dementia who struggle remembering , or those with physical disabilities that make it [hard] to use a traditional number pad .","hard: Firm, solid, resistant to pressure, tangible",0
Try pairing an Amiri leather appliqued camouflage print cotton canvas jacket with a black skater skirt if you 're hunting for an outfit idea for when you want to look casually [cool] .,cool: of or at a relatively low temperature,0
"It 's picked itself up , done the [hard] work required to rebuild itself after the disastrous Hurricane Katrina , and come together to prove that a little hard work and honest democracy can still go a long way in America .","hard: Firm, solid, resistant to pressure, tangible",0
This small & mobile jaw crusher is a rock crusher plant for crushing [hard] rock down to size .,"hard: Firm, solid, resistant to pressure, tangible",1
"It ’s [hard] to deny , though , that they ’re also a bit scary , especially when it comes to our children ; handing your baby over to be injected with an illness , however tiny the dose , however beneficial the long - term effects , still feels like an abdication of every protective parental instinct there is .","hard: Firm, solid, resistant to pressure, tangible",0
We discovered a really [cool] stacked vertebra !,cool: of or at a relatively low temperature,0
"Thanks for churning out the essential , dependable , educational and in addition [cool] tips about that topic to Kate .",cool: of or at a relatively low temperature,0
"But from the air the nearly 2 million - acre preserve appears like a mosaic of wet meadows , oxbow lakes and [black] spruce muskegs broken up by dense stands of white spruce as well as paper birch , balsam poplar , alders and willows .","black: evil, bad, unsavory",0
The [cool] weather of April is perfect for pansies .,cool: of or at a relatively low temperature,1
"The announcement came with this teaser , depicting the surviving members of the Stark family gathering in the Crypts of Winterfell to look [cool] and pose with swords .",cool: of or at a relatively low temperature,0
"In particular , black and white is [black] and white , and not some muddy mixture of dirty white and pale greenish grey .","black: evil, bad, unsavory",0
"Copycat Restaurant Recipes » Brown Derby Special French Dressing – French salad dressing can be [hard] to find , but you can recreate this salad dressing with our recipe .","hard: Firm, solid, resistant to pressure, tangible",0
I lived in MN for a couple of years and it was a very [cool] place .,cool: of or at a relatively low temperature,0
"The Daily Mail reports that Simpson sold the rights to Maxwell ’s first photos for a [cool] $ 800,000 .",cool: of or at a relatively low temperature,1
"The supplies for a [cool] home plan will probably be slightly totally different from a standard house , as a result of insulating materials shall be prevented .",cool: of or at a relatively low temperature,1
"Many thanks for rendering those important , healthy , revealing and even [cool] thoughts on your topic to Julie .",cool: of or at a relatively low temperature,0
RED : Red can be very difficult to paint with because so many redpigments have [cool] overtones which are n't apparent until youtry to mix them with other colors .,cool: of or at a relatively low temperature,1
Start with drinking a [cool] glass of water as soon as u wake up that is in the early morning .,cool: of or at a relatively low temperature,1
If you do intend to bring fragile or expensive hair straighteners in your hand held luggage then it is recommended to bring [hard] carry on luggage   as this offers the most protection against knocks and bumps during transit .,"hard: Firm, solid, resistant to pressure, tangible",1
"After that we walked around downtown , went in some [cool] shops .",cool: of or at a relatively low temperature,0
"The understanding of factors that control biomineralization has greatly advanced in the last decades , due to the in - depth characterization of the organic and inorganic components that constitute numerous biological [hard] tissues at different scale levels ( Weiner & Traub , 1980 ; Fritz & Morse , 1998 ; Blank et al . , 2003 ; Marin & Luquet , 2004 ; Robach et al . , 2005 ;","hard: Firm, solid, resistant to pressure, tangible",1
Drop by our Booth # 4001 and try out all the [cool] tools !,cool: of or at a relatively low temperature,0
"In daily stop and go , no other after cooling solution is as effective as the air to water in generating a [cool] and steady intake temp .",cool: of or at a relatively low temperature,1
"These 12”x12 ” Color Me ™ resist scrapbooking papers , exclusively by Hot Off The Press , feature a shiny , [black] embossed design that will resist ink , sprays , markers and more .","black: evil, bad, unsavory",0
"Now , out within the wider global , she and her cherished Treemont Stone evolve into brokers of swap as they develop into immersed within the ancient occasions unfolding round them — the hobbies advocating for civil rights , black cognizance , [black] feminism , the rights of the negative , and an finish to the conflict in Vietnam .","black: evil, bad, unsavory",0
"The concept was loosely based on the Black Arts Movement of the mid-1960s , which encouraged engagement by [black] artists , writers and performers in the creation of a new aesthetic that formed a new identity for black artists within the art world .","black: evil, bad, unsavory",0
"A soft new carpet makes all the difference in the home , especially on those [cool] mornings .",cool: of or at a relatively low temperature,1
"The entire challenge will be shot : A ) with a single camera ; B ) with the lenses I currently own ( 28/1.9 , 40/1.4 , 50/1.5 ) ; C ) on [black] and white film ( Kodak 400TX / Arista Premium 400 , Fuji Acros 100 and Neopan 400 , and other films ; I want to experiment with some different emulsions that I have not had the chance to try yet ) ; and D ) will last one calendar year ( 2014 ) .","black: evil, bad, unsavory",0
how [cool] are these tie dye bags ?,cool: of or at a relatively low temperature,0
"I had a Blue - steel colored screen , with a chrome bezel and a [black] back plate .","black: evil, bad, unsavory",0
"Congrats Tuke 300th post is [cool] , thumbs up cause your post content are totally cool not the regular # food post is what got me hooked btw ..",cool: of or at a relatively low temperature,0
"There ’s much more affordable fare in the collection — a sleek tank dress for $ 34.99 , a [black] pinstripe vest for $ 29.99 and a peach tee bearing the “ JPGaultier ” name for $ 19.99 .","black: evil, bad, unsavory",0
"Stay [cool] , comfortable and completely shielded from the sun all summer long in men ’s straw Panama hats from Hats in the Belfry .",cool: of or at a relatively low temperature,1
"These new ones feel a little flimsy and the grip is longer , making it [hard] to balance the larger cups and pour without spilling , particularly if you have small hands .","hard: Firm, solid, resistant to pressure, tangible",0
"The dark silence was impressive , broken now and then by the chattering of some moorland stream , whilst against the [black] , stormy skyline , the shadowy form of Winter Hill rose nearly 1,600 ft on our right .","black: evil, bad, unsavory",0
"I 'm so sick of showing you my [black] satchel that I 've been using lately , so much so that I did n't include it in any of these pictures !","black: evil, bad, unsavory",0
"Thus , coming to the new environment , I am so eager to meet [cool] people here and be friends with them .",cool: of or at a relatively low temperature,0
It was a a [black] box similar to a power source for a printer or cordless phone .,"black: evil, bad, unsavory",0
"It is always a little tricky styling bright colors , but keeping it basic with [black] can never go wrong !","black: evil, bad, unsavory",0
The Wild Honey Foundation is known for it ’s [cool] pop shows that benefit the Autism Think Tank .,cool: of or at a relatively low temperature,0
The original fragrance symbolizes timeless elegance and classicism ; Legend Intense from 2013 is its night version ; and the new edition is announced as the ultimate timeless and [cool] scent .,cool: of or at a relatively low temperature,0
"These plans would have kept the predominantly black northwest or "" Delta "" portion of Mississippi intact , and would have combined that area with predominantly [black] portions of Hinds County and the city of Jackson .","black: evil, bad, unsavory",0
"Engine stalled a few times , [hard] to start etc .","hard: Firm, solid, resistant to pressure, tangible",0
"When it comes to shoes , this getup is complemented perfectly with [black] espadrilles .","black: evil, bad, unsavory",0
Late last year I reached out on social media to find out if anyone had a [cool] 911 I could photograph and very soon after Tom at Paul Stephens 911 in Essex reached out and said ' Yes ' .,cool: of or at a relatively low temperature,0
Hatco heated [black] glass shelves are made of approved foodsafe materials allowing you to place food product directly on the glass surface .,"black: evil, bad, unsavory",0
"Starting her career in the Santa Cruz Mountains in California , Kelley was drawn back to the land of the long white cloud by its unique culture and geography plus the promise and challenge of [cool] climate wine growing .",cool: of or at a relatively low temperature,1
"The controversy revolves around the idea that an "" Oakland booty "" references a [black] woman 's body , and whether the white actress is essentially fetishizing it .","black: evil, bad, unsavory",0
For single sided hanging banners we offer a white or [black] backer .,"black: evil, bad, unsavory",0
I tried starting the computer in low- res mode but the same thing happened : the Windows logo comes up then the [black] screen with a centered mouse cursor .,"black: evil, bad, unsavory",0
"Who would 've thunk that it would be so [hard] to take outfit pictures w / a toddler , huh ?","hard: Firm, solid, resistant to pressure, tangible",0
Attention all [cool] people !,cool: of or at a relatively low temperature,0
It does n't leave any white residue in my hair and I have very [black] hair .,"black: evil, bad, unsavory",0
"First and foremost , we would like to thank Lisa Bramhall , Sam Mazzola and the Rock - a - Bye Committee for all of their [hard] work .","hard: Firm, solid, resistant to pressure, tangible",0
Here day by day its getting hot & humid and definitely need of some healthy thirst quencher to stay [cool] & fresh .,cool: of or at a relatively low temperature,1
Here was a [cool] bonus … right outside of the line area was a stage set up for festivities .,cool: of or at a relatively low temperature,0
It does look like a [cool] and beautiful palate .,cool: of or at a relatively low temperature,0
"The discovery , by the LIGO - Virgo collaboration on 14 September 2015 , of gravitational waves resulting from the fusion of two stellar mass black holes was unexpected : two such massive stellar [black] holes ( ~ 30 solar masses ) had never been detected before , although they probably constitute the tip of the iceberg .","black: evil, bad, unsavory",0
"They were stored in my home for most of the time , in a card board box in a [cool] temperature room .",cool: of or at a relatively low temperature,1
"Aside from Jean - Paul Hévin ’s chocolates , or ‘ [black] pearls ’ as he calls them ( as each piece is created from the highest - quality ingredients ) , the ‘ Boutique et Bar à Chocolat ’ has now launched a two - course set lunch .","black: evil, bad, unsavory",0
He is meant to have helped Jimmy 's family long ago but it 's still [hard] to sympathise with him and the film is less involving because of that .,"hard: Firm, solid, resistant to pressure, tangible",0
It could be the [cool] factor associated with being the official craft beer of the Detroit City Football Club .,cool: of or at a relatively low temperature,0
It ’s [hard] work getting rudeness out of your life .,"hard: Firm, solid, resistant to pressure, tangible",0
Lekanis : The resting surface for the lid is [black] .,"black: evil, bad, unsavory",0
"Once cakes are [cool] , remove cake domes from top with a large serrated knife .",cool: of or at a relatively low temperature,1
"If you ’ve always wanted to own one , but either ca n’t find it online or ca n’t afford what collectors are asking , an unbranded Graffiti Cocktail Shaker can be found online for a [cool] $ 20 .",cool: of or at a relatively low temperature,1
Tower Hill Football Club wore red and [black] jumpers .,"black: evil, bad, unsavory",0
"The10 - episode narrative features conversations between thoughtful , curious [black] folk discussing matters like the rationale behind “ non - traditional ” black names , the fact that 1.5 million African - American men have GONE missing , the scarcity model governing the arts , and folks ’ widespread perception of haters .","black: evil, bad, unsavory",0
"Brown patch on [cool] season grasses requires thes items : Water , heat , warm nights , humidity .",cool: of or at a relatively low temperature,1
"Love this Chloe girls beautiful [black] jacket made from soft , thick leather .","black: evil, bad, unsavory",0
"He opened his mouth , releasing a torrent of [black] moths into the clergyman ’s face .","black: evil, bad, unsavory",0
"I like car model building , legos , video games , computer , science , biking and blowing up stuff with Shruti | Work [hard] | Work hard , do n't dawdle , and always turn in your assignments on time .","hard: Firm, solid, resistant to pressure, tangible",0
"That sounds [hard] to believe for a player who permanently had a smile on his face and appeared to ooze confidence , yet the Trinidad and Tobago legend regularly utilised the technique throughout his four seasons as a Red , in which he scored 66 goals in 152 appearances , winning six major trophies .","hard: Firm, solid, resistant to pressure, tangible",0
"If bleach comes in contact with eyes or skin , flush the area with [cool] water for 15 to 20 minutes .",cool: of or at a relatively low temperature,1
Only two of the roughly 200 companies have [black] chief executives .,"black: evil, bad, unsavory",0
