text,text2
"Especially when you ’re dealing with many students , it ’s [hard] for the teacher .",hard: difficult
"In my opinion , if Max were to be clearly , distinctly more successful than me , it would indicate this business needs to take a long , [hard] look at itself .","hard: Forceful, potent, vigorous"
When I saw the picture itself I could understand why my client had had such a [hard] time viewing and photographing it herself .,hard: difficult
"Another steep technical section , over a stream , and up a [hard] hill .",hard: difficult
However you can make me an offer you never know times may just be [hard] at the time .,hard: difficult
"None of this is presented as an excuse for a prisoner 's crime - the Lady 's childhood was also shockingly traumatic , and yet she has clearly taken a very different path from the men whose executions she seeks to stop - but it would be absurd to suggest that it is n't a contributing factor , and it 's [hard] to finish The Enchanted without a nagging sense of guilt that we live in a society in which a child could possibly lead such a life .",hard: difficult
Glad to meet you ; Billy is a [cool] guy .,"cool: trendy, fashonable, interesting"
"I guess I would classify the book as pop linguistics- a very [cool] and enticing premise , even if it may be taken a little far .","cool: trendy, fashonable, interesting"
"Yet , it was clearly every bit as much fun for the actors and it was immensely [hard] to tell if the original Commitments , which enjoyed some chart success , even though they were created for a film of the same title in the early-1990s , had been reformed , or it was just a bunch of talented actors , playing their hearts out and doing the musical turns too .",hard: difficult
I was convinced the palette was both too [cool] and too muted for me .,cool: of or at a relatively low temperature
You do n't have to break the skin .. just [hard] enough to get your point across being - biting hurts- they will get the message .,"hard: Forceful, potent, vigorous"
"And the first time Malaysians heard for sure that there was [hard] evidence of the couple ’s spending habits came in Sydney , after a private holiday for New Year ’s Eve .","hard: Firm, solid, resistant to pressure, tangible"
Personal files are often the most valuable items stored on the hard disk and are [hard] to replace in case they are corrupted .,hard: difficult
"As a farmer , it ’s pretty [hard] to get anywhere without a car .",hard: difficult
But [hard] to unstick from hair .,hard: difficult
"The song has a [cool] enough vibe to keep me engaged for a quite a while , but then really hooks me with an unexpected turn of events about four minutes in , when the vocals drop away , the underlying syncopated beat is stripped down and brought forward , and , then , almost gloriously , an array of real instruments , including horns and strings , are added to the mix , beautifully accentuating the unusual chords and intervals that have characterized the song all along .","cool: trendy, fashonable, interesting"
It makes me look so [cool] .,"cool: trendy, fashonable, interesting"
Any business owner can tell you how [hard] it can be to think about marketing when you are inundated with company growth and the challenges that come along with that growth .,hard: difficult
It would be [hard] to find a town on Queensland ’s Sunshine Coast that is more charming than Montville .,hard: difficult
"When it 's sizzling hot , the modern 15000 BTU a / c unit will keep the family [cool] and fresh ; and when it 's cold , everyone will be toasty and warm , thanks to the efficient 35000 BTU furnace !",cool: of or at a relatively low temperature
He was just kinda a [cool] kid I ’d seen around the metal shows .,"cool: trendy, fashonable, interesting"
"the USB ports on the side have enough juice to keep the Ipad / tablet etc charged which is nice , also the casing appears to be solid enough as well I 've already dropped it off a sub speaker onto a [hard] floor and all I did was crack the hinge on the aerial , it still worked just looked bad I ve since replaced that withnonenfrom an old router and all is good .","hard: Firm, solid, resistant to pressure, tangible"
"And in China if you are doing transaction based market place , it is [hard] to get the transaction fee .",hard: difficult
This type of service is [hard] to beat !,hard: difficult
"In typical Cain [hard] luck , he went 2 - 3 .",hard: difficult
"Without strong headings as organization , it is [hard] to find what kind of work you have done on which projects .",hard: difficult
""" Seven guys running , eight guys catching — that makes it [hard] for them to defend us , "" he said .",hard: difficult
"“ It ’s really [hard] to meet these sorts of guidelines and to give your child a healthy diet all the time , ” she said .",hard: difficult
""" If we can make this block a [cool] place to hang out , if you can come here and see your friends and get a drink or something to eat , if there are things going on this block like our bike rides , then our business will do fine , "" Josef Bray - Ali said .","cool: trendy, fashonable, interesting"
"The first step in recovering from a data loss is to ascertain whether the loss is a result of a physical [hard] drive failure , i.e. broken hardware ; or , a logical drive failure , i.e. corruption or loss of File System .","hard: Firm, solid, resistant to pressure, tangible"
Genting Highlands is a [cool] hill station set amidst the cool mountain air and a majestic 100 million - year - old rainforest .,"cool: trendy, fashonable, interesting"
"My wife was in agony already , and it was really [hard] to watch her go through the pain of contractions .",hard: difficult
"I like car model building , legos , video games , computer , science , biking and blowing up stuff with Shruti | Work [hard] | Work hard , do n't dawdle , and always turn in your assignments on time .","hard: Forceful, potent, vigorous"
"- stop dancing for the hour - long class , your [cool] kids will learn a little about the history of the five main street dance styles .","cool: trendy, fashonable, interesting"
"Crying in bravery and anguish , globally , millions upon millions forfeited their lives on [hard] , unfamiliar ground .","hard: Firm, solid, resistant to pressure, tangible"
"The piece of hardware that looks like a small tower , is actually a PC monitor stand that contains a [hard] drive , CD - ROM drive , two 3.5 "" floppy drives and a 520ST power supply .","hard: Firm, solid, resistant to pressure, tangible"
"With so many animals in need in the United States , it ’s kind of [hard] for some people to believe that kittens need our help .",hard: difficult
It can also be [hard] to determine color and quality at this stage .,hard: difficult
"You ’re a curious and collaborative visionary , someone excited about tackling the [hard] problems in technology .",hard: difficult
Are we ready for the [hard] times ahead ?,hard: difficult
LADWP will revisit this policy at the end of the next year because the idea is to phase it out as [cool] roofing materials become the standard .,cool: of or at a relatively low temperature
Individuals may purchase an internal [hard] drive so that they can store the projects of their businesses .,"hard: Firm, solid, resistant to pressure, tangible"
I decorate my hallway like I would my living room – with stuff in it so it feels pretty [cool] ,"cool: trendy, fashonable, interesting"
"Any way you look at it , if you have an aversion to [hard] work , you need to look elsewhere .",hard: difficult
"That is very , very [cool] Tammy !","cool: trendy, fashonable, interesting"
"The [cool] part about events is that as multiple people take pictures , and as long as they ’re members of the event , every photo they take will be shared to the Event stream .","cool: trendy, fashonable, interesting"
They are all looking for a awesome online partner to share some giggles in a [cool] chat conversation .,"cool: trendy, fashonable, interesting"
The Trustees thank them both for all the [hard] work they have done this year .,"hard: Forceful, potent, vigorous"
"It 's [hard] to tell , is different for everyone .",hard: difficult
"I guess I still need to wait a couple of years and meanwhile I will try as hard as I can do improve my skills on the topics I passionate about , without being [hard] on myself for not being able to do it full time .","hard: Forceful, potent, vigorous"
They offer equally as [cool] hostel rooms at just as affordable prices .,"cool: trendy, fashonable, interesting"
I feel like the pregnancy became my identity and I ’m having a [hard] time letting that go .,hard: difficult
Summer weather has begun and it ’s starting to become difficult to stay [cool] through long warm summer days .,cool: of or at a relatively low temperature
“ I was on the side of the road in the gutter stretching and I just thought about all the [hard] training I ’d done .,hard: difficult
It does sound weird to recommend a whitening shampoo but the Whitening Shampoo does not lighten but in fact adds cool tones and this tonal quality will assist in camouflaging the red / brown tones from the coat which are more evident as the coat has faded and lost the [cool] hues of the coat colour .,cool: of or at a relatively low temperature
"If he continues with the form he displayed in Shanghai last week , then it ’s [hard] to look past him at the O2 Arena .",hard: difficult
"Remove the hazelnuts from the oven , let cool for a few minutes so that they are [cool] enough to handle .",cool: of or at a relatively low temperature
"In fact , we have one of the largest mobile [hard] drive shredding operations in the nation .","hard: Firm, solid, resistant to pressure, tangible"
"If you play it [cool] and pass , though , you can get a much better sale price for your home .","cool: trendy, fashonable, interesting"
screwdriver for [hard] to reach places ergo slim screwdrivers .,hard: difficult
How [cool] is that ? !,"cool: trendy, fashonable, interesting"
"He was [hard] enough to stop on the lead as it was , but with the new starting position rules I think he will be even harder to stop .",hard: difficult
"It 's [hard] to imagine that the band featured on "" Too True , "" a demo from 1977 , would be able to do this just two years later .",hard: difficult
"The boards I used were cheap ones with a lot of quarter size and larger black , rock [hard] knots , some of the knots exploded when being planed , however the blades stay sharp with no nicks .","hard: Firm, solid, resistant to pressure, tangible"
"Thus , coming to the new environment , I am so eager to meet [cool] people here and be friends with them .","cool: trendy, fashonable, interesting"
"After you pick a distro you like , consider installing it on a [hard] drive .","hard: Firm, solid, resistant to pressure, tangible"
An obstacle rarely ever seems [hard] when I have my best friend ’s support to carry me through .,hard: difficult
And a martini glass with some water and ice in it if you want to get the martini glass nice and [cool] before you actually serve the drink .,cool: of or at a relatively low temperature
"They may also drop dough on the carpet , which is [hard] to remove and clean .",hard: difficult
"Here ’s a [cool] shorty from Mexico , focused on the boats that take fly fishers to the flats .","cool: trendy, fashonable, interesting"
Firstly laburnum trees are [hard] to find in Kerala now - a - days .,hard: difficult
"Bruce Lee once said that I pray not for an easy life , but the ability to endure a [hard] one !",hard: difficult
"Once cakes are [cool] , remove cake domes from top with a large serrated knife .",cool: of or at a relatively low temperature
They think it ’s really [cool] to have an American on the team .,"cool: trendy, fashonable, interesting"
"Why the technology will be around for another 20 years : Though you may not think it , optical media is still one of the most predominant of all storage mediums , besides the [hard] drive .","hard: Firm, solid, resistant to pressure, tangible"
"You can either wrap each blade in a different colour to get the [cool] effect below or wrap the inside part of each blade in one colour , the middle part of each blade in a different colour and the outside part of each blade in a third colour , to end up with the fan spinning a rainbow like circle .","cool: trendy, fashonable, interesting"
"To ensure the maximum stand traffic possible , many will include fresh , new acts ; super [cool] schotzkes ; celebrity appearances ; market segment leaders with dynamite presentations ; and super - rehearsed / super - polished product / service demos .","cool: trendy, fashonable, interesting"
"Trust me , this tastes exactly how it looks , [cool] and refreshing , a great salad to serve this summer !",cool: of or at a relatively low temperature
"Has some [hard] to see , minor scratches along the stainless steel edging as well as on the cast iron grates .",hard: difficult
it is also [hard] when we all have a little bit of competitiveness in us ( sometimes we can be competitive ) and we want to be up the front winning not the last one to finish - this may cause i to rush and not do things properly .,hard: difficult
"In fact it was so tight , it is rather [hard] to clip over the hem sewn on the pockets of blue jeans .",hard: difficult
Then this Batman [cool] straight bong | Unique bong will be the perfect addition to your glass collection .,"cool: trendy, fashonable, interesting"
"If you just want to backup all your Photoshop ( .psd ) files to an external [hard] drive no matter where they are located on your Mac , you could select your entire Mac ’s hard drive as one target and a folder on the external hard drive as the other target .","hard: Firm, solid, resistant to pressure, tangible"
My Sis and I prepared it today after a long [hard] day of work and I decided to share the recipe with you so you can try it out and let me know what you think of it .,hard: difficult
Need a [hard] money loan in San Francisco ?,"hard: Firm, solid, resistant to pressure, tangible"
"It supports [cool] effects , multiple projects / tabs , layers and action history .","cool: trendy, fashonable, interesting"
"It would not be [hard] to find thousands of examples in the books of the Prophets in which lead , earth , gold , and salt speak of human virtues and vices .",hard: difficult
Try pairing an Amiri leather appliqued camouflage print cotton canvas jacket with a black skater skirt if you 're hunting for an outfit idea for when you want to look casually [cool] .,"cool: trendy, fashonable, interesting"
She began shaking with nervousness from the first chord and had a [hard] time getting her voice to sound the way she knew it could .,hard: difficult
There are lots of [cool] photos in all 3 sections .,"cool: trendy, fashonable, interesting"
"Add this to the convenience stores , sandwich shops and great value supermarket and its not [hard] to see why it has became such a popular area with students .",hard: difficult
This can offer a powerful and [cool] try to find the new Azera .,"cool: trendy, fashonable, interesting"
We have made a very [hard] effort to assure that they participate .,"hard: Forceful, potent, vigorous"
"Angus and his family sold up the family farm in the highlands of Scotland and journeyed to Gladstone , Wairarapa where they planted their dream on a farm with stony soils and the [cool] but predictable climate that the region offers .",cool: of or at a relatively low temperature
It 's so [cool] to see how such old software can still run under Windows 10 .,"cool: trendy, fashonable, interesting"
"Yes , this Seagate ST3160813AS [hard] drive can qualify for the $ 60 hard drive Repair Service .","hard: Firm, solid, resistant to pressure, tangible"
But please remember this is Scotland so bring your wooly jumpers for that un - seasonal [cool] spell !,cool: of or at a relatively low temperature
"This look , to me , feels like we ’re talking to a [cool] technology company that ’s about to launch an amazing new product .","cool: trendy, fashonable, interesting"
"Today 's recipe is a refreshingly [cool] drink to beat the heat , Watermleon Lemonade .",cool: of or at a relatively low temperature
"What happened to the [cool] , Fall weather ? ? ?",cool: of or at a relatively low temperature
""" What word? .. I need a [cool] word to stamp ! ! !","cool: trendy, fashonable, interesting"
The Opolis is such a [cool] music venue and Tyson was right in his element .,"cool: trendy, fashonable, interesting"
"Hard times like that I often remember something Jean Paul Sartre said , that in hard times art , literature found a way to thrive ; but Jean Paul Sartre was referring to the Nazi occupation in France when he was talking about [hard] times and even during that occupation there was something physical .",hard: difficult
"The country has an unemployment rate of at least 55 percent , and jobs are increasingly [hard] to find .",hard: difficult
And it does involve some pretty [cool] moonlighting .,"cool: trendy, fashonable, interesting"
Throw these across your hands for a [cool] look !,"cool: trendy, fashonable, interesting"
The [cool] down end part of a class will recondition and pacify the nervous and cardiovascular systems .,cool: of or at a relatively low temperature
"If you prefer a [cool] , hardwood floor under foot opt for a timber or laminate floor or even vinyl flooring in warm woodgrain hues .",cool: of or at a relatively low temperature
"Copycat Restaurant Recipes » Brown Derby Special French Dressing – French salad dressing can be [hard] to find , but you can recreate this salad dressing with our recipe .",hard: difficult
"When a pet is sick or ill , it can be [hard] to receive the care they need without the stress of high veterinary bills .",hard: difficult
"If you ’ve always wanted to own one , but either ca n’t find it online or ca n’t afford what collectors are asking , an unbranded Graffiti Cocktail Shaker can be found online for a [cool] $ 20 .",cool: of or at a relatively low temperature
"Published with a glossy [hard] cover in a convenient size for reference it has detailed information on the 2012 Formula One World Championship : teams , drivers , cars , engines , team principals , mechanics , engineers , key people , sponsors , suppliers , marketing , PR and press officers , photographers , journalists , tracks , F1 officials and much more hard to find information .","hard: Firm, solid, resistant to pressure, tangible"
"The garden tower was proposed to be a fabric structure that visitors could ascend to a top platform for an overview of citywide environmental and resource issues , and then descend down through the [cool] air inside the tower to the garden below .",cool: of or at a relatively low temperature
Whoever does the plots is standing on the shoulders of many [hard] working scientists .,"hard: Forceful, potent, vigorous"
"I thought from the very first night as an assistant DJ that this was not only something I could do well for my brides , grooms and their guests , but how [cool] would it be to offer some really fun , personalized touches unique to them , to make their night that much better ?","cool: trendy, fashonable, interesting"
Thermal absorptivity is an indicator of warm - [cool] feeling .,cool: of or at a relatively low temperature
"Humanature combine pure Enzogenol ® with L - theanine to support neural balance , [cool] heads and change lives with healthy concentration , mental clarity and stress management .","cool: trendy, fashonable, interesting"
"You can find the post here , Betsson teases their players but makes it [hard] for them to start playing !",hard: difficult
"That looks great Room 15 , the ANZAC art is so [cool] and I love the dyed backgrounds .","cool: trendy, fashonable, interesting"
Too many times in my OD we miss out on games that our users say are Epic or would just be [cool] to see .,"cool: trendy, fashonable, interesting"
"The stinger hood is a great addition to this small - block car , because the cool white streak is a [cool] match for the white folding roof making this Sting Ray striking with the top up or down .","cool: trendy, fashonable, interesting"
"and the 9700k is good so far , running smooth and [cool] at 5.1ghz",cool: of or at a relatively low temperature
Mom never remarried I think it was too [hard] while raising Beth and me .,hard: difficult
I got a BS in Economics and Political Science from TAMU and a [cool] watch from my dad ( on the right . ),"cool: trendy, fashonable, interesting"
"The idea of putting your dog in your bag and taking off to the grocery store seems [cool] and very on trend , but is there another side to the story ?","cool: trendy, fashonable, interesting"
"By your statement , I assume a replacement VDP chip would be [hard] to come by , and so the unit would essentially be lost if the VDP were damaged .",hard: difficult
"There was n’t a [hard] transition to this tennis string , it was very easy to make the switch .",hard: difficult
"After you 've done a few rows , sprinkle with raspberry dust and let [cool] completely ( about 2 hours ) .",cool: of or at a relatively low temperature
It 's very [cool] because you do n't need to spend money to get a different things in the game .,"cool: trendy, fashonable, interesting"
"Once again , written materials are [hard] to come by , especially in Africa where the art of writing started late .",hard: difficult
"They also are very tight in there , balled up in the fetal position , making it [hard] to see them .",hard: difficult
"I 'm also having a very hard time landing + , dash , + against Jeff from any stance , way too [hard] to be listed as a consistent combo on him IMO .",hard: difficult
"They just want to know there ’s a bright future for their sons and daughters , with whom they share a warm group bath after a [hard] day ’s work , just like I do .",hard: difficult
It is [hard] to print to the surface as it is cupped even though it is a soft flexible surface .,hard: difficult
The [hard] plastic protects its content well and usually I do n’t even have to worry about dropping a palette .,"hard: Firm, solid, resistant to pressure, tangible"
"Their communication primarily comes from body language : they 'll turn their head or body away to indicate they 're not so [cool] with this invasion , or they may even try to move away .","cool: trendy, fashonable, interesting"
"A sophisticate minded trendy bar , Marcus ' Martini Heaven in Seattle pours every drink into a sometimes [hard] to imbibe from martini glass and their extensive list runs the gamut of every conceivable liquor with Marcus ' extremely busy bartenders being well versed in every concoction .",hard: difficult
And especially in those hot temperature days you will be wanting something [cool] and refreshing to drink .,cool: of or at a relatively low temperature
"Lord Stranleigh met them in the corridor apparently [cool] and unexcited , there ’s nothing to do .",cool: of or at a relatively low temperature
That 'd be [cool] .,"cool: trendy, fashonable, interesting"
Remove and when slightly [cool] place in a grinder or blender .,cool: of or at a relatively low temperature
"Howlite removes distractions , focusing your mind while keeping you [cool] and under control .",cool: of or at a relatively low temperature
"A human being capable to talk things to the face of the main responsables of this , and not to look somewhere else to evil Porsches … the ambition of the world economies are so big that they do n’t care about the people ( Elysium ) … and then we are supposed to put on green glasses to pretend the solution is to be Vegan , do Yoga and look cool … there are no Gandhis any more that speak the truth for the good of all mankind not to look [cool] but to be true to your self !","cool: trendy, fashonable, interesting"
It was [hard] to turn my eyes away from the news .,hard: difficult
I chose to use the heat sinks to keep them extra [cool] .,cool: of or at a relatively low temperature
The [hard] part ( designing ) is complete and you can start to see it come together .,hard: difficult
It&apos;s nice and [cool] now but promises to be a stinker later on .,"cool: trendy, fashonable, interesting"
"I want to dress like her because I find her fashion very , very [cool] , despite the hatred she gets for it in school .","cool: trendy, fashonable, interesting"
We also got to see Invincible perform that evening and see firsthand the [hard] work she puts into every performance .,"hard: Forceful, potent, vigorous"
The water temperature is nice and [cool] .,cool: of or at a relatively low temperature
"In any case , store your olive oil sealed , in a [cool] dark location .",cool: of or at a relatively low temperature
I think it 's [cool] .,"cool: trendy, fashonable, interesting"
It 's so [cool] that you got featured !,"cool: trendy, fashonable, interesting"
The question they pose in this spot is n’t one that has been asked very much and I think it is a great question and a [cool] sureal way to show what the world would be like without progression .,"cool: trendy, fashonable, interesting"
This [cool] earrings from Marc by Marc Jacobs is a really good if you need to pep up your everyday look .,"cool: trendy, fashonable, interesting"
There ’s even a really [cool] Superman costume hoodie that ’s super - stylish .,"cool: trendy, fashonable, interesting"
"What I think you should do , is check out some [cool] hairstyles that you think you want for yourself , and then when you 're older , you can use that .","cool: trendy, fashonable, interesting"
"This card was drawn on 28th November 2018 the weather had been [cool] , cloudy and generally miserable for weeks and I needed some cool colours and fun to change my mood , I hope Tabatha Tiger has the same effect on you .",cool: of or at a relatively low temperature
"And , if you 're like most moms , it 's [hard] to find the time to become a competent player .",hard: difficult
My mom was trying to decide how long she should let it go before she took him in to the vet and make some really [hard] choices .,hard: difficult
"That was just the [cool] part , the really cool part ?","cool: trendy, fashonable, interesting"
This is particularly [hard] when the birthmother 's extended family is against the idea of adoption .,hard: difficult
"So next time you think that the best way to make yourself feel better is to buy yourself a treat , or the next [cool] gadget , consider that the opposite is true .","cool: trendy, fashonable, interesting"
I almost always skipped this step because I always thought using a cleanser gave my skin a really [hard] time .,hard: difficult
You could also ask a lot more suggestions from buddies who had skilled in making a [cool] bedroom .,"cool: trendy, fashonable, interesting"
"Twinkle was at her casual best in a white t - shirt , blue denims and a black jacket and completed her look with a [cool] pair of sunglasses .","cool: trendy, fashonable, interesting"
"The first reason was that one of our babysitters worked there and my sister and I both thought she was [cool] , so by going there we were cool too .","cool: trendy, fashonable, interesting"
After a long holiday I had a really [hard] time returning to the university .,hard: difficult
"However , if you have n’t ( it ’s [cool] – we ’re all busy ! )","cool: trendy, fashonable, interesting"
"It ’s a [hard] lesson for Nasha ( Anna Lee ) , who misdirects the Gestapo soldiers during his escape and hides him when the area is cordoned off at curfew , then chooses to turn him in when her father ( Walter Brennan ) , a scholar who clearly knows more about the resistance than he voices , is arrested as a hostage .",hard: difficult
"The Haiku Buckaroo ) will receive a Magnetic Poetry Haiku Kit , a Haiku Buckaroo Mug and a super - [cool] button for their blog ( in their choice of white or black ) .","cool: trendy, fashonable, interesting"
But I think BlogLovin ' is where all the [cool] kids are going .,"cool: trendy, fashonable, interesting"
Have something [cool] to demo ?,"cool: trendy, fashonable, interesting"
"Once you ’ve stopped the bleeding , rinse the cut under [cool] running water or use a saline wound wash .",cool: of or at a relatively low temperature
"It is churned until it separates into butter and buttermilk and then washed by hand with [cool] , clear water to remove all traces of buttermilk .",cool: of or at a relatively low temperature
"- "" What makes these situations so [hard] to face ?",hard: difficult
"We do make them on a shallow oval shape , different to other handmade wigs , to ensure the best possible fit on multiple head types ; but our wigs are made with a [hard] cap that has little to no give , and we can not be held responsible should your wig not fit properly .","hard: Firm, solid, resistant to pressure, tangible"
"Come and enjoy with us this great film in Spanish with subtitles , learn new words in Spanish and practice conversation among [cool] amigos while enjoying some wine and empanadas ! $ 20 .","cool: trendy, fashonable, interesting"
"The phone is perfectly designed to help those with hard of hearding disabilites , those with dementia who struggle remembering , or those with physical disabilities that make it [hard] to use a traditional number pad .",hard: difficult
"Do not make any payment using Western Union or Moneygram – they are extremely [hard] to trace , so scammers love it .",hard: difficult
"You ’ll surely find it [hard] to find the best doctor for your disease but by knowing where to start or what expert to look for , there ’s no doubt that you ’ll surely be able to improve your chances of success in this search .",hard: difficult
"They are great on onionskin paper as well , but the tip is very large and round so it ’s [hard] to use on tiny print .",hard: difficult
"In the fourth episode of The Email Design Podcast , hosts Kevin Mandeville and Jason Rodriguez discuss a whole lot of Gmail , the future of Android email clients , a [cool] new app from MailChimp , and take a look back at their test episode .","cool: trendy, fashonable, interesting"
It 's very [hard] to contact Wood - mode / Brookhaven because I ca n't find a phone number and the only way to contact them is by filling out a form online and hoping they call me .,hard: difficult
"But yet when I think of big data , its advantages still seem [hard] to quantify .",hard: difficult
Here day by day its getting hot & humid and definitely need of some healthy thirst quencher to stay [cool] & fresh .,cool: of or at a relatively low temperature
Let [cool] for 10 minutes before filling .,cool: of or at a relatively low temperature
Ben creates environments that enable talented people to build [cool] stuff .,"cool: trendy, fashonable, interesting"
Decorated in [cool] grey tones means any furniture colour pallet will fit without clashing !,cool: of or at a relatively low temperature
"People are advised to wear protective glasses , but as far as pets are concerned , vets say they ’ll be pretty [hard] to keep on your animal .",hard: difficult
"It smelled [cool] and earthy , like fresh mushrooms .",cool: of or at a relatively low temperature
A [cool] breeze took care of the sweat and the cloud cover kept the sun ’s harshness at bay … ..,cool: of or at a relatively low temperature
"Hey , if I help one person , then [cool] !","cool: trendy, fashonable, interesting"
"I wear a sun hat in the warmer months when I 'm outside for more than 5 minutes at a time , and I am diligent about getting sunscreen on the kiddo - but I just have a [hard] time with it .",hard: difficult
"Ensure ready access to [cool] water in convenient , visible locations .",cool: of or at a relatively low temperature
"From what I saw , that is n't [hard] to imagine .",hard: difficult
We found a lot of really [cool] paper goods at the estate sale too .,"cool: trendy, fashonable, interesting"
so there was flappy bird game and started to play it and it was a very [cool] and after the game I got a certificate .,"cool: trendy, fashonable, interesting"
Hybrid Wood/ Glass Shelves photograph will require upwards a lot of space or room upon your [hard] disk drive .,"hard: Firm, solid, resistant to pressure, tangible"
It 's [cool] that we are both sharing page space over there .,"cool: trendy, fashonable, interesting"
"It 's a [hard] decision to make but my favorite character Suigintou , also known as Gin - Sama .",hard: difficult
"For a way to stay fresh and [cool] , get this Casual Women 's Top offered by Madame .",cool: of or at a relatively low temperature
"Certainly hope they start to offer Passholder and “ Tables ” discounts eventually because I agree with you : as [cool] as this is , I ’m not forgoing my 20%+ discount for convenience !","cool: trendy, fashonable, interesting"
The mold is typically [hard] to identify .,hard: difficult
It 's [hard] to raise money if it is n't there ... God is faithful and He will make up the difference !,hard: difficult
Mono spaced fonts are also nice for distinguishing code from regular text on both web pages and [hard] copy .,"hard: Firm, solid, resistant to pressure, tangible"
I had a [hard] time getting into it .,hard: difficult
It 's [hard] to know what to say about that .,hard: difficult
Interior designer Rachel Goetz found this [cool] watercolor - like design from Anthropologie .,"cool: trendy, fashonable, interesting"
This leather jacket will be perfect for formal evenings in [cool] weather- 40 degrees or so .,cool: of or at a relatively low temperature
I think this discovery is really [cool] because rome - era tombs are from way back when .,"cool: trendy, fashonable, interesting"
Check this [cool] KLM video which shows unboxing of their brand new Boeing 787 Dreamliner : Enjoy your discounted flights with KLM !,"cool: trendy, fashonable, interesting"
"A unit that offers up to 500 GB is normally more than sufficient for most home and small business surveillance needs , making it unnecessary to spend more money purchasing a larger [hard] drive .","hard: Firm, solid, resistant to pressure, tangible"
